"namespace","assemblies","public_type_count","public_member_count"
"","NXOpenLoadContext","1","2"
"NXOpen","NXOpen | NXOpen.Guide | NXOpen.Utilities | NXOpenUI","1325","11214"
"NXOpen.AECDesign","NXOpen","15","85"
"NXOpen.ALPTest","NXOpen","1","3"
"NXOpen.Annotations","NXOpen","965","7047"
"NXOpen.Appearance","NXOpen","15","84"
"NXOpen.Assemblies","NXOpen","173","1283"
"NXOpen.Assemblies.ProductInterface","NXOpen","9","80"
"NXOpen.AutomatedTesting","NXOpen","5","26"
"NXOpen.BlockStyler","NXOpenUI","143","1564"
"NXOpen.BodyDes","NXOpen","12","140"
"NXOpen.CableRouter","NXOpen","18","208"
"NXOpen.CableRouter.Managed","NXOpen","47","387"
"NXOpen.CADCAEPrep","NXOpen","19","90"
"NXOpen.CAE","NXOpen","2438","16783"
"NXOpen.CAE.AeroStructures","NXOpen","95","735"
"NXOpen.CAE.AeroStructures.Author","NXOpen","31","197"
"NXOpen.CAE.Connections","NXOpen","164","1550"
"NXOpen.CAE.ContactPreview","NXOpen","4","17"
"NXOpen.CAE.FTK","NXOpen","25","153"
"NXOpen.CAE.Magnet","NXOpen","35","101"
"NXOpen.CAE.MeshMapping","NXOpen","1","2"
"NXOpen.CAE.ModelCheck","NXOpen","52","357"
"NXOpen.CAE.ModelDependencyCheck","NXOpen","2","14"
"NXOpen.CAE.Optimization","NXOpen","19","153"
"NXOpen.CAE.PenetrationCheck","NXOpen","16","78"
"NXOpen.CAE.PostProc","NXOpen","26","124"
"NXOpen.CAE.QualityAudit","NXOpen","67","218"
"NXOpen.CAE.ResponseSimulation","NXOpen","156","706"
"NXOpen.CAE.RotorDynamics","NXOpen","6","35"
"NXOpen.CAE.Safety","NXOpen","1","3"
"NXOpen.CAE.Xyplot","NXOpen","165","792"
"NXOpen.CAM","NXOpen","1898","12687"
"NXOpen.CAM.FBM","NXOpen","11","82"
"NXOpen.CLDCommon","NXOpen","3","4"
"NXOpen.CloudDM","NXOpen","19","122"
"NXOpen.CollaborationApplication","NXOpen","12","37"
"NXOpen.Copilot","NXOpen","2","8"
"NXOpen.DesignSimulation","NXOpen","99","721"
"NXOpen.Diagramming","NXOpen","113","632"
"NXOpen.Diagramming.Geometry","NXOpen","15","45"
"NXOpen.Diagramming.Tables","NXOpen","24","137"
"NXOpen.DiagrammingLibraryAuthor","NXOpen","22","141"
"NXOpen.Die","NXOpen","184","2004"
"NXOpen.Display","NXOpen","270","2011"
"NXOpen.Drafting","NXOpen","24","224"
"NXOpen.Drawings","NXOpen","343","2419"
"NXOpen.ElectricalRouting","NXOpen","11","55"
"NXOpen.Facet","NXOpen","108","779"
"NXOpen.Features","NXOpen","1491","9689"
"NXOpen.Features.AECDesign","NXOpen","131","598"
"NXOpen.Features.DrawShapes","NXOpen","30","139"
"NXOpen.Features.Industry","NXOpen","5","38"
"NXOpen.Features.SheetMetal","NXOpen","223","1722"
"NXOpen.Features.ShipDesign","NXOpen","621","4025"
"NXOpen.Features.ShipDesign.GeneralArrangement","NXOpen","8","53"
"NXOpen.Features.StructureDesign","NXOpen","139","862"
"NXOpen.Features.Subdivision","NXOpen","94","503"
"NXOpen.Features.VehicleDesign","NXOpen","349","3484"
"NXOpen.Fields","NXOpen","102","866"
"NXOpen.Formboard","NXOpen","25","185"
"NXOpen.Gateway","NXOpen","40","369"
"NXOpen.GCTools","NXOpen","5","62"
"NXOpen.GeometricAnalysis","NXOpen","148","1031"
"NXOpen.GeometricAnalysis.SectionAnalysis","NXOpen","27","157"
"NXOpen.GeometricUtilities","NXOpen","382","2775"
"NXOpen.GeometricUtilities.UVMapping","NXOpen","12","61"
"NXOpen.Implicit","NXOpen","67","225"
"NXOpen.InfoWindow","NXOpen","6","31"
