"assembly","namespace","declaring_type","entry_kind","name","is_obsolete","signature"
"NXOpenLoadContext","","NXOpenLoadContext","Constructor","NXOpenLoadContext","False",".ctor(System.String assemblyName)"
"NXOpen","NXOpen","NXOpen.AdjacentSheetBodiesRule","Method","GetData","False","System.Void GetData(out NXOpen.Body seedBody, out NXOpen.Body[] negatedDomainEntities, out NXOpen.NXObject[] domainFeatures)"
"NXOpen","NXOpen","NXOpen.ApparentChainingRule","Method","GetData","False","System.Void GetData(out NXOpen.ICurve seed, out NXOpen.View view, out NXOpen.ApparentChainingRuleType chainingRule, out NXOpen.ApparentChainingRuleSelection selectionMask, out System.Double chainingTolerance, out System.Double angleTolerance)"
"NXOpen","NXOpen","NXOpen.Arc","Method","SetParameters","False","System.Void SetParameters(System.Double radius, NXOpen.Point3d center, System.Double startAngle, System.Double endAngle, NXOpen.NXMatrix matrix)"
"NXOpen","NXOpen","NXOpen.Arc","Method","SetParameters","False","System.Void SetParameters(System.Double radius, NXOpen.Point3d center, System.Double startAngle, System.Double endAngle)"
"NXOpen","NXOpen","NXOpen.Arc","Method","SetRadius","False","System.Void SetRadius(System.Double radius)"
"NXOpen","NXOpen","NXOpen.ArcCollection","Collection","ArcCollection","False","NXOpen.ArcCollection"
"NXOpen","NXOpen","NXOpen.ArcCollection","Method","FindObject","False","NXOpen.Arc FindObject(System.String journalIdentifier)"
"NXOpen","NXOpen","NXOpen.AssembliesUtils","Method","NewWaveQuery","False","NXOpen.Assemblies.WaveQuery NewWaveQuery()"
"NXOpen","NXOpen","NXOpen.AssyCloneLogFileFailures","Method","GetInputPartName","False","System.String GetInputPartName()"
"NXOpen","NXOpen","NXOpen.AssyCloneLogFileFailures","Method","GetInvalidToken","False","System.String GetInvalidToken()"
"NXOpen","NXOpen","NXOpen.AssyCloneLogFileFailures","Method","GetLineNumber","False","System.Int32 GetLineNumber()"
"NXOpen","NXOpen","NXOpen.AssyCloneNamingFailures","Method","GetInputPartName","False","System.String GetInputPartName(System.Int32 partListIndex)"
"NXOpen","NXOpen","NXOpen.AssyCloneNamingFailures","Method","GetNumberOfFailures","False","System.Int32 GetNumberOfFailures()"
"NXOpen","NXOpen","NXOpen.AssyCloneNamingFailures","Method","GetOutputPartName","False","System.String GetOutputPartName(System.Int32 partListIndex)"
"NXOpen","NXOpen","NXOpen.AssyCloneNamingFailures","Method","GetStatus","False","System.Int32 GetStatus(System.Int32 partListIndex)"
"NXOpen","NXOpen","NXOpen.AttributeIterator","Method","SetIncludeAllCategories","False","System.Void SetIncludeAllCategories()"
"NXOpen","NXOpen","NXOpen.AttributeIterator","Method","SetIncludeAlsoUnset","False","System.Void SetIncludeAlsoUnset(System.Boolean includeAlsoUnset)"
"NXOpen","NXOpen","NXOpen.AttributeIterator","Method","SetIncludeOnlyArrays","False","System.Void SetIncludeOnlyArrays(System.Boolean includeOnlyArrays)"
"NXOpen","NXOpen","NXOpen.AttributeIterator","Method","SetIncludeOnlyCategory","False","System.Void SetIncludeOnlyCategory(System.String category)"
"NXOpen","NXOpen","NXOpen.AttributeIterator","Method","SetIncludeOnlyTitle","False","System.Void SetIncludeOnlyTitle(System.String title)"
"NXOpen","NXOpen","NXOpen.AttributeIterator","Method","SetIncludeOnlyType","False","System.Void SetIncludeOnlyType(NXOpen.NXObject+AttributeType type)"
"NXOpen","NXOpen","NXOpen.AttributeIterator","Method","SetIncludeOnlyUnset","False","System.Void SetIncludeOnlyUnset(System.Boolean includeOnlyUnset)"
"NXOpen","NXOpen","NXOpen.AttributeManager","Manager","AttributeManager","False","NXOpen.AttributeManager"
"NXOpen","NXOpen","NXOpen.AttributeManager","Method","CreateAttributePropertiesBuilder","False","NXOpen.AttributePropertiesBuilder CreateAttributePropertiesBuilder(NXOpen.BasePart part, NXOpen.NXObject[] objects, NXOpen.AttributePropertiesBuilder+OperationType operationType)"
"NXOpen","NXOpen","NXOpen.AttributePropertiesBaseBuilder","Builder","AttributePropertiesBaseBuilder","False","NXOpen.AttributePropertiesBaseBuilder"
"NXOpen","NXOpen","NXOpen.AttributePropertiesBaseBuilder","Method","CreateAttribute","False","System.Boolean CreateAttribute()"
"NXOpen","NXOpen","NXOpen.AttributePropertiesBaseBuilder","Method","Delete","False","System.Void Delete(NXOpen.NXObject object)"
"NXOpen","NXOpen","NXOpen.AttributePropertiesBaseBuilder","Method","DeleteArray","False","System.Void DeleteArray(NXOpen.NXObject object)"
"NXOpen","NXOpen","NXOpen.AttributePropertiesBaseBuilder","Method","GetDateListOfValues","False","System.Void GetDateListOfValues(out NXOpen.DateItemBuilder[] values)"
"NXOpen","NXOpen","NXOpen.AttributePropertiesBaseBuilder","Method","GetDoubleListOfValues","False","System.Void GetDoubleListOfValues(out System.Double[] values)"
"NXOpen","NXOpen","NXOpen.AttributePropertiesBaseBuilder","Method","GetIntegerListOfValues","False","System.Void GetIntegerListOfValues(out System.Int32[] values)"
"NXOpen","NXOpen","NXOpen.AttributePropertiesBaseBuilder","Method","GetStringListOfValues","False","System.Void GetStringListOfValues(out System.String[] values)"
"NXOpen","NXOpen","NXOpen.AttributePropertiesBaseBuilder","Method","SetAttributeObjects","False","System.Void SetAttributeObjects(NXOpen.NXObject[] objects)"
"NXOpen","NXOpen","NXOpen.AttributePropertiesBuilder","Builder","AttributePropertiesBuilder","False","NXOpen.AttributePropertiesBuilder"
"NXOpen","NXOpen","NXOpen.AttributeTemplatesBuilder","Method","AddAccessKey","False","System.Void AddAccessKey(NXOpen.AttributeTemplatesBuilder+AccessKey accessKey)"
"NXOpen","NXOpen","NXOpen.AttributeTemplatesBuilder","Builder","AttributeTemplatesBuilder","False","NXOpen.AttributeTemplatesBuilder"
