"button_id","label","actions","source_file","reason"
"ADD_PIPE_LENGTH","&Additional Pipe Length","AdditionalPipeLength","C:\Program Files\Siemens\DesigncenterNX2512\ROUTING\ugroute_mech\plugins\source\UFD_Routing_PipeProdLength.men","No NXOpen/UFUN candidate scored 65 or higher. Record a journal or inspect official documentation."
"ALP_BACK_TO_LINE_PLANNING","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\alp_cross_station_process_planning_task.men","No NXOpen/UFUN candidate scored 65 or higher. Record a journal or inspect official documentation."
"ALP_BACK_TO_LINE_PLANNING","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\alp_resource_planning_task.men","No NXOpen/UFUN candidate scored 65 or higher. Record a journal or inspect official documentation."
"ALP_BACK_TO_LINE_PLANNING","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\alp_station_detailing_task.men","No NXOpen/UFUN candidate scored 65 or higher. Record a journal or inspect official documentation."
"ALP_BACK_TO_LINE_PLANNING","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\profiles\ALP_CROSS_STATION_PROCESS_PLANNING_TASK\rbn_alp_cross_station_process_planning_task_home.rtb","No NXOpen/UFUN candidate scored 65 or higher. Record a journal or inspect official documentation."
"ALP_BACK_TO_LINE_PLANNING","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\profiles\ALP_RESOURCE_PLANNING_TASK\rbn_alp_resource_planning_task_home.rtb","No NXOpen/UFUN candidate scored 65 or higher. Record a journal or inspect official documentation."
"ALP_BACK_TO_LINE_PLANNING","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\profiles\ALP_STATION_DETAILING_TASK\rbn_alp_station_detailing_task_home.rtb","No NXOpen/UFUN candidate scored 65 or higher. Record a journal or inspect official documentation."
"ALP_BACK_TO_LINE_PLANNING","&Back to Line Planning","STANDARD","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\startup\definitions_assembly_line_planner.btn","No NXOpen/UFUN candidate scored 65 or higher. Record a journal or inspect official documentation."
"ALP_CAPTURE_IMAGE","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\alp_resource_planning_task.men","No NXOpen/UFUN candidate scored 65 or higher. Record a journal or inspect official documentation."
"ALP_CAPTURE_IMAGE","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\assembly_line_planner.men","No NXOpen/UFUN candidate scored 65 or higher. Record a journal or inspect official documentation."
