intent_id,frequency,runtime_module,source_index,source_module,group,name_en,name_ru,intended_path,generated_modules,generated_rows,generated_enabled_rows,button_ids,actions,resolution_statuses,installed_by_catalog_ref,installed_button_id_matches,runtime_readiness
nx2512-00-L0025,K5,global,0,Gateway / общая работа с NX,Файл и сессия,New,Создать файл,F>P>N>E,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,13,UG_FILE_NEW,execute_command,resolved,no,,compiled_enabled_not_installed_in_managed_runtime
nx2512-00-L0026,K5,global,0,Gateway / общая работа с NX,Файл и сессия,Open,Открыть,F>P>O>P,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,13,UG_FILE_OPEN,execute_command,resolved,no,,compiled_enabled_not_installed_in_managed_runtime
nx2512-00-L0027,K3,global,0,Gateway / общая работа с NX,Файл и сессия,Close,Закрыть,F>P>C>L,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,0,,execute_command,unresolved,no,,blocked_unresolved_disabled
nx2512-00-L0028,K3,global,0,Gateway / общая работа с NX,Файл и сессия,Close All,Закрыть все,F>P>C>A,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,0,,execute_command,unresolved,no,,blocked_unresolved_disabled
nx2512-00-L0029,K5,global,0,Gateway / общая работа с NX,Файл и сессия,Save,Сохранить,F>P>S>V,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,13,UG_FILE_SAVE_PART,execute_command,resolved,no,,compiled_enabled_not_installed_in_managed_runtime
nx2512-00-L0030,K3,global,0,Gateway / общая работа с NX,Файл и сессия,Save As,Сохранить как,F>P>S>A,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,13,UG_FILE_SAVE_AS,execute_command,resolved,no,,compiled_enabled_not_installed_in_managed_runtime
nx2512-00-L0031,K3,global,0,Gateway / общая работа с NX,Файл и сессия,Save All,Сохранить все,F>P>S>E,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,13,UG_FILE_SAVE_PART,execute_command,resolved,no,,compiled_enabled_not_installed_in_managed_runtime
nx2512-00-L0032,K3,global,0,Gateway / общая работа с NX,Файл и сессия,Reopen,Повторно открыть,F>P>R>E,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,0,,execute_command,unresolved,no,,blocked_unresolved_disabled
nx2512-00-L0033,K3,global,0,Gateway / общая работа с NX,Файл и сессия,Part Cleanup,Очистка детали,F>P>P>C,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,0,,execute_command,unresolved,no,,blocked_unresolved_disabled
nx2512-00-L0034,K3,global,0,Gateway / общая работа с NX,Файл и сессия,Properties,Свойства,F>P>P>R,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,0,,execute_command,unresolved,no,,blocked_unresolved_disabled
nx2512-00-L0035,K3,global,0,Gateway / общая работа с NX,Файл и сессия,Print,Печать,F>P>P>P,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,0,,execute_command,unresolved,no,,blocked_unresolved_disabled
nx2512-00-L0036,K4,global,0,Gateway / общая работа с NX,Файл и сессия,Export,Экспорт,F>P>E>X,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,0,,execute_command,unresolved,no,,blocked_unresolved_disabled
nx2512-00-L0037,K4,global,0,Gateway / общая работа с NX,Файл и сессия,Import,Импорт,F>P>I>M,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,0,,execute_command,unresolved,no,,blocked_unresolved_disabled
nx2512-00-L0038,K3,global,0,Gateway / общая работа с NX,Файл и сессия,Recently Opened Parts,Недавние файлы,F>P>R>O,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,0,,execute_command,unresolved,no,,blocked_unresolved_disabled
nx2512-00-L0039,K3,global,0,Gateway / общая работа с NX,Файл и сессия,Switch Window,Переключить окно,F>P>S>W,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,0,,execute_command,unresolved,no,,blocked_unresolved_disabled
nx2512-00-L0040,K3,global,0,Gateway / общая работа с NX,Файл и сессия,Exit,Выход,F>P>E>E,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,0,,execute_command,unresolved,no,,blocked_unresolved_disabled
nx2512-00-L0043,K5,global,0,Gateway / общая работа с NX,Редактирование,Undo,Отменить,E>F>U>N,assembly|drafting|inspect_view|manufacturing|modeling|mold|pmi|reuse|routing|sheet_metal|simulation|sketch|surface,13,13,UG_EDIT_UNDO,execute_command,resolved,no,,compiled_enabled_not_installed_in_managed_runtime
