"source","name","value","exists"
"environment","UGII_BASE_DIR","C:\Program Files\Siemens\DesigncenterNX2512","True"
"environment","UGII_ROOT_DIR","","False"
"environment","UGOPEN","","False"
"environment","UGII_USER_DIR","","False"
"environment","UGII_SITE_DIR","","False"
"environment","UGII_GROUP_DIR","","False"
"environment","UGII_CUSTOM_DIRECTORY_FILE","C:\Users\KDFX Modes\AppData\Local\Programs\NxHotkeys\2512\NxCustomization\custom_dirs.dat","True"
"assembly","NXOpen.dll directory","C:\Program Files\Siemens\DesigncenterNX2512\nxbin\managed_core","True"
"scan-root","directory","C:\Program Files\Siemens","True"
"scan-root","directory","C:\Program Files\Siemens\DesigncenterNX2512","True"
"scan-root","directory","C:\Program Files\Siemens\DesigncenterNX2512\LOCALIZATION","True"
"scan-root","directory","C:\Program Files\Siemens\DesigncenterNX2512\MACH","True"
"scan-root","directory","C:\Program Files\Siemens\DesigncenterNX2512\nxbin","True"
"scan-root","directory","C:\Program Files\Siemens\DesigncenterNX2512\nxbin\managed_core","True"
"scan-root","directory","C:\Program Files\Siemens\DesigncenterNX2512\UGII","True"
"scan-root","directory","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN","True"
"scan-root","directory","C:\Users\KDFX Modes\AppData\Local\Programs\NxHotkeys\2512\NxCustomization","True"
