"assembly","namespace","full_name","name","kind","category","is_abstract","is_sealed","is_obsolete","obsolete_message","base_type","interfaces"
"NXOpen.Utilities","NXOpen","NXOpen.Accelerometer","Accelerometer","Class","Object","False","False","False","","NXOpen.RuntimeObject",""
"NXOpen","NXOpen","NXOpen.AcisExporter","AcisExporter","Class","Object","False","False","False","","NXOpen.BaseCreator","NXOpen.GeometricUtilities.IComponentBuilder"
"NXOpen","NXOpen","NXOpen.AcisExporter+AcisVersionOption","AcisVersionOption","Enum","Enum","False","True","False","","System.Enum","System.IComparable | System.IConvertible | System.IFormattable | System.ISpanFormattable"
"NXOpen","NXOpen","NXOpen.AcisImporter","AcisImporter","Class","Object","False","False","False","","NXOpen.BaseImporter","NXOpen.GeometricUtilities.IComponentBuilder"
"NXOpen","NXOpen","NXOpen.AdjacentSheetBodiesRule","AdjacentSheetBodiesRule","Class","Object","False","False","False","","NXOpen.SelectionIntentRule","System.IDisposable"
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.AECDesignNavigator","AECDesignNavigator","Class","Object","False","False","False","","NXOpen.NXObject","NXOpen.INXObject"
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.AECDesignNavigatorNode","AECDesignNavigatorNode","Class","Object","False","False","False","","NXOpen.Features.Industry.IndustryNavigatorNode","NXOpen.INXObject"
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.AECDesignNavigatorRoot","AECDesignNavigatorRoot","Class","Object","False","False","False","","NXOpen.NXObject","NXOpen.INXObject"
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.AECDesignNavigatorView","AECDesignNavigatorView","Class","Object","False","False","False","","NXOpen.NXObject","NXOpen.INXObject"
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.AECDesignSession","AECDesignSession","Class","Object","False","False","False","","NXOpen.Utilities.NXRemotableObject",""
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.AecGridCenterSegmentType","AecGridCenterSegmentType","Enum","Enum","False","True","False","","System.Enum","System.IComparable | System.IConvertible | System.IFormattable | System.ISpanFormattable"
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.AecLineFormatDragPointType","AecLineFormatDragPointType","Enum","Enum","False","True","False","","System.Enum","System.IComparable | System.IConvertible | System.IFormattable | System.ISpanFormattable"
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.AecLineFormatType","AecLineFormatType","Enum","Enum","False","True","False","","System.Enum","System.IComparable | System.IConvertible | System.IFormattable | System.ISpanFormattable"
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.AecLineType","AecLineType","Enum","Enum","False","True","False","","System.Enum","System.IComparable | System.IConvertible | System.IFormattable | System.ISpanFormattable"
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.AecSymbolType","AecSymbolType","Enum","Enum","False","True","False","","System.Enum","System.IComparable | System.IConvertible | System.IFormattable | System.ISpanFormattable"
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.AecTaskEnvType","AecTaskEnvType","Enum","Enum","False","True","False","","System.Enum","System.IComparable | System.IConvertible | System.IFormattable | System.ISpanFormattable"
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.LevelSymbolIndex","LevelSymbolIndex","Enum","Enum","False","True","False","","System.Enum","System.IComparable | System.IConvertible | System.IFormattable | System.ISpanFormattable"
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.PlanElevationView","PlanElevationView","Class","Object","False","False","False","","NXOpen.NXObject","NXOpen.INXObject"
"NXOpen","NXOpen.AECDesign","NXOpen.AECDesign.PlanElevationViewManager","PlanElevationViewManager","Class","Manager","False","False","False","","NXOpen.NXObject","NXOpen.INXObject"
