"button_id","label","synonyms","definition_kind","accelerator","actions","applications","bitmap","cascade","sensitive","visible","toggle_state","source_file","source_line"
"ADD_PIPE_LENGTH","&Additional Pipe Length","","BUTTON","","AdditionalPipeLength","","UFD_Routing_PipeProdLength_AddTemplateLength.bmp","","","","","C:\Program Files\Siemens\DesigncenterNX2512\ROUTING\ugroute_mech\plugins\source\UFD_Routing_PipeProdLength.men","13"
"ALP_BACK_TO_LINE_PLANNING","","","BUTTON","","","","","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\alp_cross_station_process_planning_task.men","34"
"ALP_BACK_TO_LINE_PLANNING","","","BUTTON","","","","","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\alp_resource_planning_task.men","37"
"ALP_BACK_TO_LINE_PLANNING","","","BUTTON","","","","","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\alp_station_detailing_task.men","38"
"ALP_BACK_TO_LINE_PLANNING","","","BUTTON","","","","","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\profiles\ALP_CROSS_STATION_PROCESS_PLANNING_TASK\rbn_alp_cross_station_process_planning_task_home.rtb","13"
"ALP_BACK_TO_LINE_PLANNING","","","BUTTON","","","","","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\profiles\ALP_RESOURCE_PLANNING_TASK\rbn_alp_resource_planning_task_home.rtb","13"
"ALP_BACK_TO_LINE_PLANNING","","","BUTTON","","","","","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\profiles\ALP_STATION_DETAILING_TASK\rbn_alp_station_detailing_task_home.rtb","12"
"ALP_BACK_TO_LINE_PLANNING","&Back to Line Planning","","BUTTON","","STANDARD","","back_to_line_level","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\startup\definitions_assembly_line_planner.btn","30"
"ALP_CAPTURE_IMAGE","","","BUTTON","","","","","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\alp_resource_planning_task.men","1178"
"ALP_CAPTURE_IMAGE","","","BUTTON","","","","","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\assembly_line_planner.men","97"
"ALP_CAPTURE_IMAGE","C&apture Image...","snapshot","BUTTON","","STANDARD","","snapshot_image","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\startup\definitions_assembly_line_planner.btn","209"
"ALP_CLD_REPORT","","","BUTTON","","","","","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\alp_station_detailing_task.men","1164"
"ALP_CLD_REPORT","","","BUTTON","","","","","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\assembly_line_planner.men","65"
"ALP_CLD_REPORT","&Report","","BUTTON","","STANDARD","","reporting","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\startup\definitions_assembly_line_planner.btn","162"
"ALP_CREATE_FLOW","","","TOGGLE_BUTTON","","","","","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\alp_resource_planning_task.men","1176"
"ALP_CREATE_FLOW","","","TOGGLE_BUTTON","","","","","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\application\assembly_line_planner.men","95"
"ALP_CREATE_FLOW","&Create Flows","create flow between two PERT nodes, attach two PERT nodes","TOGGLE_BUTTON","","STANDARD","","connect_mode","","","","","C:\Program Files\Siemens\DesigncenterNX2512\MANUFACTURING_PLANNING\assembly_line_planner\startup\definitions_assembly_line_planner.btn","201"
