"function_name","return_declaration","signature","header_file","source_line"
"UF_ABORT_ask_flag_status","extern ""C"" { extern UFUNEXPORT int","extern ""C"" { extern UFUNEXPORT int UF_ABORT_ask_flag_status( logical *flag );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_abort.h","31"
"UF_ABORT_clear_abort","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ABORT_clear_abort( void );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_abort.h","71"
"UF_ABORT_disable_abort","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ABORT_disable_abort( void );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_abort.h","90"
"UF_ABORT_enable_abort","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ABORT_enable_abort( void );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_abort.h","108"
"UF_ask_application_module","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ask_application_module( int* module_id );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_retiring.h","7400"
"UF_ask_grip_args","extern UGOPENINTEXPORT int","extern UGOPENINTEXPORT int UF_ask_grip_args ( int argument_count, UF_args_p_t gruf_arg_list );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_ugopenint.h","213"
"UF_ask_load_state_for_part_file","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ask_load_state_for_part_file ( const char* partFileName, UF_PART_load_state_t* loadState );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_part.h","2257"
"UF_ask_load_state_of_part","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ask_load_state_of_part ( tag_t part, UF_PART_load_state_t* loadState );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_part.h","2275"
"UF_ask_syslog_filename","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ask_syslog_filename( char** filename );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_retiring.h","7189"
"UF_ASSEM_activate_sequence","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_activate_sequence( tag_t sequence );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4419"
"UF_ASSEM_add_part_to_assembly","extern ""C"" { extern UFUNEXPORT int","extern ""C"" { extern UFUNEXPORT int UF_ASSEM_add_part_to_assembly( tag_t parent_part , const char *part, const char *refset_name, const char *instance_name, double origin[3], double csys_matrix[6], int layer, tag_t *instance, UF_PART_load_status_t *error_status );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","394"
"UF_ASSEM_add_part_to_assembly2","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_add_part_to_assembly2( tag_t parent_part, const char *part, const char *refset_name, const char *instance_name, double origin[3], double csys_matrix[9], int layer, tag_t *instance, UF_PART_load_status_t *error_status );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","503"
"UF_ASSEM_add_ref_set_members","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_add_ref_set_members( tag_t ref_set , int member_count , tag_t * ref_set_members );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1275"
"UF_ASSEM_add_sequencing_view","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_add_sequencing_view( tag_t view );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4604"
"UF_ASSEM_add_snapshot_motion_to_sequence","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_add_snapshot_motion_to_sequence ( const char* snapshot_series_name, int num_snapshots, int num_occs, tag_t *occs, double snapshot_series_xforms[], tag_t sequence, tag_t step_to_insert_after, tag_t *snapshot_series );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4868"
"UF_ASSEM_add_to_cset","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_add_to_cset( tag_t cset , tag_t component , logical level );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2819"
"UF_ASSEM_apply_to_cset","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_apply_to_cset( tag_t cset , UF_ASSEM_cset_fn_t fn , void * app_data );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2860"
"UF_ASSEM_apply_to_cset_members","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_apply_to_cset_members( tag_t cset , UF_ASSEM_cset_fn_t fn , void * app_data );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2881"
"UF_ASSEM_ask_active_arrangement","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_active_arrangement( tag_t part, tag_t *arrangement );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5108"
"UF_ASSEM_ask_active_sequence","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_active_sequence( tag_t *sequence );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4434"
"UF_ASSEM_ask_all_comp_cset","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_all_comp_cset( tag_t part , tag_t * cset );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2903"
"UF_ASSEM_ask_all_part_occ_children","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_all_part_occ_children( tag_t part_occur , tag_t ** child_part_occs );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1789"
"UF_ASSEM_ask_arrangements_in_part","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_arrangements_in_part( tag_t part, int *n_arrangements, tag_t **arrangements );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5342"
"UF_ASSEM_ask_arrays_in_part","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_arrays_in_part( tag_t part_tag , int * num_arrays , tag_t ** array_tags );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3196"
"UF_ASSEM_ask_arrays_of_inst","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_arrays_of_inst( tag_t instance , int * num_arrays , tag_t ** arrays );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3175"
"UF_ASSEM_ask_assem_load_options","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_assem_load_options( UF_ASSEM_load_options_t *options );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1125"
"UF_ASSEM_ask_assem_options","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_assem_options( UF_ASSEM_options_t *options );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1089"
"UF_ASSEM_ask_auto_add_new_comps","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_auto_add_new_comps ( tag_t ref_set, logical *add_new_comps );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5554"
